"Time (s)","X (hPa)"
5.560712277E2,1.025512466E3
5.570285107E2,1.025479813E3
5.579858857E2,1.025446930E3
5.589433257E2,1.025416870E3
5.599007157E2,1.025390320E3
5.608580707E2,1.025363998E3
5.618158017E2,1.025339127E3
5.627736467E2,1.025314789E3
5.637314247E2,1.025289993E3
5.646892877E2,1.025265198E3
5.656473937E2,1.025239487E3
5.666054487E2,1.025215225E3
5.675636487E2,1.025193176E3
5.685215507E2,1.025171738E3
5.694797667E2,1.025151672E3
5.704381587E2,1.025133972E3
5.713965117E2,1.025117645E3
5.723549667E2,1.025101776E3
5.733134597E2,1.025089188E3
5.742718477E2,1.025085754E3
5.752302217E2,1.025083160E3
5.761887487E2,1.025083160E3
5.771472037E2,1.025074921E3
5.781056987E2,1.025060806E3
5.790642597E2,1.025038452E3
5.800228097E2,1.025004730E3
5.809814007E2,1.024976273E3
5.819400577E2,1.024970245E3
5.828986087E2,1.024961243E3
5.838573557E2,1.024955215E3
5.848161927E2,1.024944916E3
5.857748677E2,1.024926682E3
5.867336777E2,1.024897537E3
5.876919597E2,1.024873810E3
5.886501597E2,1.024867096E3
5.896085177E2,1.024858093E3
5.905666647E2,1.024858093E3
5.915250257E2,1.024858093E3
5.924833507E2,1.024860077E3
5.934417017E2,1.024860458E3
5.944000297E2,1.024860458E3
5.953588117E2,1.024928513E3
5.963176507E2,1.024928513E3
5.972766547E2,1.024828110E3
5.982354867E2,1.024797516E3
5.991944847E2,1.024779816E3
6.001534427E2,1.024755859E3
6.011123777E2,1.024742966E3
6.020714137E2,1.024741135E3
6.030303587E2,1.024742966E3
6.039893637E2,1.024754715E3
6.049483907E2,1.025746994E3
6.059073317E2,1.030104294E3
6.068663287E2,1.030282516E3
6.078249087E2,1.030633087E3
6.087836547E2,1.031159515E3
6.097424047E2,1.031159515E3
6.107015337E2,1.027382584E3
6.116608177E2,1.027321014E3
6.126200447E2,1.027321014E3
6.135793847E2,1.027054367E3
6.145388097E2,1.026912689E3
6.154981077E2,1.026749115E3
6.164575337E2,1.026547699E3
6.174169017E2,1.026547699E3
6.183761697E2,1.026566162E3
6.193355377E2,1.026566162E3
6.202949907E2,1.026555939E3
6.212543717E2,1.026542740E3
6.222134177E2,1.026526718E3
6.231724597E2,1.026510468E3
6.241315677E2,1.026491318E3
6.250910157E2,1.026464615E3
6.260505107E2,1.026433640E3
