Time (s),X (hPa),X (hPa)_kalman,X (hPa)_kalman_lowpass
357.5673274,1013.822327,1013.8056378619871,1013.8314647679911
358.5163634,1013.821182,1013.81381369325,1013.7955601568303
359.4653634,1013.648911,1013.7270029235276,1013.690943652787
360.4143464,1013.313293,1013.5091917038184,1013.5478918745844
361.3634104,1013.313293,1013.4060545036161,1013.4271910084099
362.3124764,1013.465881,1013.4375523515674,1013.396367962907
363.2615354,1013.571091,1013.5078661250205,1013.4929283217186
364.2105214,1013.75,1013.6353456218975,1013.6983121995262
365.1595314,1014.297867,1013.9841440871811,1013.943051452589
366.1085184,1014.297867,1014.1493059057146,1014.1415408368526
367.0576384,1014.272614,1014.2142414034191,1014.2332037864286
368.0068274,1014.182892,1014.197752444657,1014.2047868224001
368.9561284,1014.033966,1014.1115055462791,1014.0857466863374
369.9053474,1013.736267,1013.9139486796931,1013.9274860063693
370.8545154,1013.643112,1013.7713657585577,1013.7820199045887
371.8037014,1013.639297,1013.7018259545715,1013.68764002679
372.7529474,1013.639297,1013.6688977119617,1013.6608569525458
373.7021344,1013.666382,1013.6675731446751,1013.6933857731127
374.6512634,1013.863907,1013.7709315785736,1013.7562994717674
375.6004894,1013.863907,1013.8198734994894,1013.8126823010987
376.5495964,1013.834915,1013.8277846530854,1013.8341965408583
377.4987224,1013.776398,1013.8007463383801,1013.8127300478441
378.4479414,1013.755341,1013.7768570194792,1013.7611561903009
379.3971324,1013.636246,1013.7028194568456,1013.7046408555484
380.3459264,1013.636246,1013.6677614514315,1013.6688619336157
381.2945874,1013.650589,1013.6587123994516,1013.6707246527609
382.2432984,1013.786163,1013.7257971481207,1013.7136838544847
383.1919854,1013.861771,1013.7973769130848,1013.7877760492444
384.1407374,1013.900681,1013.8517726056435,1013.8741362354885
385.0894654,1014.061279,1013.9620744276947,1013.9527058275337
386.0381934,1014.061279,1014.0143041572686,1014.0097057902216
386.9869274,1014.061279,1014.039035794522,1014.0409982063685
387.9355964,1014.060059,1014.0501039520392,1014.0503861195427
388.8844484,1014.032364,1014.0407560689225,1014.0457080078918
389.8332864,1014.032364,1014.0363296922934,1014.0361893159699
390.7821254,1014.044037,1014.0404034589006,1014.0314361491235
391.7308754,1014.044037,1014.0423324544901,1014.0396619263186
392.6796054,1014.044037,1014.043245865675,1014.0638218042146
393.6283394,1014.167557,1014.1086854718725,1014.0980507028628
394.5770494,1014.167557,1014.1396722032931,1014.1285298939827
395.5260084,1014.127884,1014.1334578281401,1014.1401018178344
396.4750774,1014.093475,1014.1123916406483,1014.1250466876035
397.4241624,1014.093475,1014.10241645388,1014.0880968350004
398.3732904,1013.983841,1014.039980366688,1014.0441309555129
399.3224254,1013.983841,1014.0104158509888,1014.0100078924844
400.2716444,1013.983841,1013.9964165658344,1013.9957657515714
401.2209774,1014.000244,1013.9984317209158,1014.000433494897
402.1700984,1014.028015,1014.0140069020539,1014.0143555324469
403.1192094,1014.036179,1014.025687963462,1014.025823972642
404.0684294,1014.036179,1014.031219138443,1014.0278715689873
405.0176364,1014.016724,1014.0235874934908,1014.0222978659164
405.9667024,1014.016724,1014.0199737839015,1014.0205031375341
406.9158424,1014.019699,1014.0198371991048,1014.0415885195121
407.8649624,1014.250183,1014.1411105246708,1014.1069778133565
408.8141524,1014.29924,1014.2243711814351,1014.2305172571873
409.7632754,1014.523773,1014.3819853421212,1014.406442391288
410.7123734,1014.830551,1014.6181558835975,1014.6027939233247
411.6615914,1014.916,1014.7749741312595,1014.7686094763584
412.6108294,1014.916,1014.8492301545538,1014.8556708168925
413.5598904,1014.842834,1014.845862933381,1014.8439521397498
414.5087664,1014.660263,1014.748155691451,1014.7540601541414
415.4575634,1014.5401,1014.6386178482985,1014.6363916084387
416.4062984,1014.461212,1014.5452006075927,1014.5419857306366
417.3551264,1014.456711,1014.4986202230765,1014.4930769048253
418.3037874,1014.437256,1014.4663128963487,1014.4724415944482
419.2525474,1014.385452,1014.4237330752353,1014.4386420027084
420.2016844,1014.330902,1014.3748430286282,1014.357042127676
421.1509694,1014.114838,1014.2379705446014,1014.2254770114413
422.1003194,1013.884964,1014.0521103742471,1014.0766273589065
423.0496434,1013.865967,1013.9541088468183,1013.9554258404573
423.9989234,1013.855362,1013.9021121925815,1013.8883852649265
424.9483464,1013.846817,1013.8729921597195,1013.8682769532477
425.8975284,1013.842316,1013.8568575621866,1013.8654635801831
426.8464364,1013.837509,1013.8466789781446,1013.855032768691
427.7952224,1013.833923,1013.8399633446833,1013.8355604458515
428.7441384,1013.831787,1013.8356586914681,1013.8236329356514
429.6929884,1013.829346,1013.8323350070897,1013.831449181714
430.6416734,1013.829346,1013.8307611877905,1013.8510560508853
431.5903714,1013.890762,1013.862342766883,1013.8617101614586
432.5392444,1013.890762,1013.8772971647782,1013.8529442066531
433.4879844,1013.801575,1013.8374305380343,1013.8392218434008
434.4365314,1013.801575,1013.8185530336093,1013.8500498517558
435.3851104,1014.009018,1013.9188377053719,1013.9041906934632
436.3336044,1014.10408,1014.01635679418,1013.99253505408
